overtaking_id,track_id,first_frame,last_frame,vehicle_class
1,24,1736,1761,2
2,86,1817,1838,2
3,126,1931,1950,7
4,132,1973,1991,2
5,156,2128,2148,2
6,255,2409,2431,2
7,262,2429,2439,2
8,295,2468,2488,2
9,269,2466,2535,2
10,361,2560,2580,2
11,518,3123,3142,2
12,530,3176,3202,2
13,546,3245,3263,2
14,552,3263,3285,2
15,558,3282,3310,2
16,571,3332,3349,2
17,585,3353,3381,2
18,593,3379,3392,2
19,600,3437,3463,2
20,604,3483,3509,2
21,746,3761,3777,7
22,755,3788,3793,5
23,938,3955,3955,2
24,898,3960,3960,5
25,948,3976,3983,2
26,948,4023,4024,2
27,958,4020,4036,7
28,985,4087,4097,2
29,1010,4145,4154,2
30,1016,4165,4172,2
31,1018,4171,4172,2
32,1026,4183,4184,2
33,1027,4196,4203,7
34,1041,4253,4254,2
35,1051,4312,4314,2
36,1215,4422,4426,2
37,1180,4422,4429,2
38,1275,4473,4507,2
39,1330,4624,4647,2
40,1391,4811,4836,2
41,1452,5113,5136,2
42,1508,5317,5340,2
43,1532,5361,5380,2
44,1544,5416,5437,2
45,1550,5455,5475,2
46,1558,5494,5511,2
47,1560,5504,5523,2
48,1582,5532,5543,2
49,1595,5576,5592,2
50,1589,5596,5596,2
51,1602,5598,5617,2
52,1669,5671,5691,2
53,1700,5697,5717,2
54,1714,5738,5760,2
55,1727,5756,5760,2
56,1734,5761,5769,7
57,1735,5767,5792,2
58,1740,5787,5802,2
59,1751,5799,5817,2
60,1759,5820,5841,2
61,1777,5844,5854,2
62,1834,5974,6001,2
63,1929,6135,6155,2
64,1948,6315,6328,2
65,1946,6316,6349,2
66,2010,6564,6597,2
67,2027,6587,6613,2
68,2033,6600,6622,2
69,2041,6615,6631,2
70,2059,6630,6639,7
71,2068,6638,6644,2
72,2079,6651,6658,2
73,2085,6662,6673,2
74,2115,6692,6697,2
75,2135,6738,6742,2
76,2137,6747,6753,2
77,2139,6755,6761,2
78,2141,6766,6776,2
79,2151,6792,6798,2
80,2159,6822,6827,2
81,2163,6843,6847,2
82,2175,6920,6923,2
83,2190,6976,6978,2
84,2198,7006,7009,2
85,2162,7314,7319,7
86,2577,7893,7912,2
87,2595,7959,7967,2
88,2580,7958,7977,2
89,2596,7982,7996,2
90,2604,8010,8027,2
91,2614,8038,8055,2
92,2626,8105,8124,2
93,2633,8126,8145,2
94,2634,8137,8156,2
95,2635,8148,8170,2
96,2637,8177,8192,2
97,2647,8190,8212,2
98,2652,8209,8224,2
99,2651,8205,8236,2
100,2653,8239,8263,2
101,2665,8284,8310,2
102,2669,8300,8330,2
103,2683,8343,8347,7
104,2670,8307,8362,2
105,2677,8374,8400,2
106,2699,8423,8440,2
107,2691,8420,8450,2
108,2702,8456,8488,2
109,2709,8506,8534,2
110,2717,8618,8641,2
111,2709,8640,8683,2
112,2778,8690,8714,2
113,2809,8726,8746,2
114,2812,8753,8753,2
115,2935,8946,8964,2
116,2958,8977,8998,2
117,3039,9142,9180,2
118,3080,9374,9388,2
119,3195,9452,9460,2
120,3214,9452,9467,2
121,3215,9466,9484,7
122,3224,9469,9497,2
123,3212,9494,9505,2
124,3273,9510,9513,2
125,3409,9777,9801,2
126,3425,9879,9921,2
127,3479,9956,9973,2
128,3496,10073,10089,2
129,3510,10108,10122,2
130,3522,10150,10170,2
131,3529,10162,10175,2
132,3534,10177,10197,2
133,3541,10201,10216,2
134,3567,10294,10310,2
135,3582,10354,10370,2
136,3592,10481,10491,2
137,3619,10540,10559,2
138,3622,10554,10579,2
139,3709,10662,10662,2
140,3755,10697,10720,2
141,3764,10723,10724,2
142,3743,10729,10745,2
143,3818,10872,10873,2
144,3840,10873,10882,7
145,3895,11068,11074,2
146,4064,11613,11631,2
147,4134,11621,11674,2
148,4125,11669,11677,2
149,4125,11722,11723,2
150,4208,12028,12029,3
151,4578,12921,12937,2
152,4580,12931,12949,2
153,4584,12945,12968,2
154,4595,12995,13016,2
155,4598,13022,13044,2
156,4605,13074,13092,2
157,4610,13103,13111,2
158,4609,13097,13114,2
159,4614,13124,13141,2
160,4621,13194,13216,2
161,4623,13227,13255,2
162,4644,13321,13338,2
163,4658,13355,13371,2
164,4660,13390,13409,2
165,4720,13524,13559,7
166,4814,13653,13665,2
167,4812,13651,13667,2
168,4933,14027,14046,2
169,4959,14243,14244,2
170,4966,14361,14361,2
171,5420,15788,15788,2
172,5473,15792,15794,2
173,5529,15860,15888,2
174,5552,15893,15912,2
175,5577,15923,15927,2
176,5587,15934,15947,7
177,5618,16099,16121,7
178,5662,16347,16374,2
179,5665,16370,16402,2
180,5705,16528,16542,2
181,5715,16608,16620,2
182,5719,16618,16632,2
183,5731,16651,16672,2
184,5733,16667,16685,2
185,5735,16703,16721,2
186,5750,16716,16729,2
187,5756,16738,16760,2
188,5772,16754,16781,2
189,5805,16791,16811,2
190,5820,16825,16825,2
191,5810,16821,16838,2
192,5827,16836,16845,2
193,5844,16872,16894,2
194,5892,16943,16955,2
195,5948,17144,17163,7
196,5952,17204,17212,2
197,5961,17214,17223,2
198,5967,17278,17297,2
199,6064,17419,17430,2
200,6128,17517,17530,2
201,6135,17524,17530,2
202,6131,17530,17538,2
203,6167,17604,17623,2
204,6220,17850,17854,2
205,6242,18137,18155,2
206,6224,18272,18272,2
207,6274,18365,18375,2
208,6279,18383,18387,2
